barcode,name,category
6001275000003,Jungle Oats,Cereals
6001092500052,Mrs Balls Original Chutney,Condiments
6001038071554,Aromat Original Seasoning,Condiments
6001068323005,Ricoffy Instant Coffee,Beverages
6009188002213,KitKat,Confectionery
6001299015274,Clover Full Cream Milk,Dairy
6001253010178,Albany White Bread,Bread
6001253010185,Albany Superior Brown Bread,Bread
6009710390177,Flora Light Spread,Spreads
6001324011172,Oros Orange Squash,Beverages
6001710010253,Sasko Premium Brown Bread,Bread
6009522301262,Crosse & Blackwell Tangy Mayonnaise,Condiments
6009629181064,Blue Ribbon Classic White Bread,Bread
6001069020446,Hellmanns Original Mayonnaise,Condiments
6001052001018,Weet-Bix Wholegrain Wheat Biscuits,Cereals
6001068379200,Milo Hot Chocolate,Beverages
6009510804683,Simba Chips Original Cheese,Snacks
6009803631705,Go-Slos BBQ Flavoured Maize Snack,Snacks
6001299026973,Clover Full Cream Milk 2L,Dairy
6001056453004,Bakers Blue Label Marie Biscuits,Snacks
6001582051132,Sunfoil Sunflower Oil,Cooking Oil
6001069034405,Black Cat Smooth Peanut Butter,Spreads
6001021021023,Cerebos Iodated Table Salt,Condiments
6001065601069,Cadbury Dairy Milk Chocolate,Confectionery
6001710010192,Sasko White Bread,Bread
6009702443768,Freshpak Pure Rooibos Tea,Tea
6001299810312,Stork Margarine,Spreads
6009710721520,Doritos Sweet Chilli Pepper Corn Chips,Snacks
6003770009260,Nandos Perinaise Hot,Condiments
6009710721568,Doritos Flamin Hot,Snacks
6001001825146,Parmalat Full Cream Long Life Milk,Dairy
6001306000996,Kelloggs Corn Flakes,Cereals
6001052002459,Bokomo Corn Flakes,Cereals
6009522310363,Koo Baked Beans in Tomato Sauce,Canned Food
6001052003906,Weet-Bix Original,Cereals
6009710720622,Lays Potato Chips Salted,Snacks
6001710010604,Sasko Low GI Whole Wheat Brown Bread,Bread
6001115001535,Lucky Star Pilchards in Tomato Sauce,Canned Food
6001224094602,Yum Yum Smooth Peanut Butter,Spreads
6009629181071,Blue Ribbon Classic Brown Bread,Bread
6009522300623,Black Cat Peanut Butter,Spreads
6001021020002,Cerebos Iodated Table Salt 1kg,Condiments
6001120609894,Beacon White TV Bar,Confectionery
6001134087305,Sparletta Creme Soda,Beverages
6009510804782,Lays Potato Chips Salted 125g,Snacks
6009710720653,Lays Sweet Smoky American BBQ,Snacks
6001032014007,Willards Cheese Curls,Snacks
6009800820034,Little Bee Pure Honey,Spreads
6001068586806,Knorr Chicken Noodle Soup,Canned Food
6001197181019,Jungle Energy Bar,Snacks
6001134707302,Stoney Ginger Beer,Beverages
6001224094619,Yum Yum Crunchy Peanut Butter,Spreads
6009710390146,Flora Light Fat Spread,Spreads
6001710010178,Sasko White Bread 700g,Bread
6009522310288,Black Cat Smooth Peanut Butter 400g,Spreads
6001069033538,Hellmanns Smooth Peanut Butter,Spreads
6001120621254,Beacon Energy Bar Peanut Butter,Snacks
6001048004511,Grapetiser Sparkling Grape Juice,Beverages
6001306002457,Maggi Instant Noodles Beef,Snacks
6001324254371,Energade Sports Drink,Beverages
6001069033569,Black Cat No Sugar Peanut Butter,Spreads
6009710720615,Lays Caribbean Onion Balsamic Vinegar,Snacks
6009704170693,Bakers Tennis Biscuits,Snacks
6001224593105,Nola Coconut Oil,Cooking Oil
6009195372286,Saldanha Light Meat Tuna in Brine,Canned Food
6001030003577,All Gold Sweet Chilli Sauce,Condiments
6001260100046,Number 1 Mageu Banana,Beverages
6001134705506,Stoney Ginger Beer 1.25L,Beverages
6009522300098,Fatti and Monis Spaghetti,Pasta
6007251000128,Lancewood Salted Butter,Dairy
6001299034275,Clover Double Cream Plain Yoghurt,Dairy
6001299000270,Clover Fresh Full Cream Milk,Dairy
6006822000529,Laager Rooibos Tea,Tea
6001065034027,Cadbury Lunch Bar,Confectionery
6001068312108,Nestle Gold Cross Condensed Milk,Dairy
6009704171409,Bakers Salticrax,Snacks
6001068311804,Nestle Sweetened Condensed Milk,Dairy
6001008155543,Woodlands Full Cream Milk,Dairy
6009612470014,Aquelle Natural Spring Water,Beverages
6001108028044,Savanna Dry Premium Cider,Beverages
6009694633116,Dragon Energy Drink,Beverages
6001299006791,Clover Nolac Lactose Free Milk,Dairy
6009880243013,Valpre Natural Spring Water,Beverages
6009510808643,Simba Chips Original Cheese 125g,Snacks
6001306001900,Kelloggs All Bran Flakes,Cereals
6001240100042,White Star Super Maize Meal,Cereals
6001069010256,Knorr Aromat Cheese,Condiments
6001060002401,Tastic Rice,Cereals
6009522310325,Koo Chakalaka Mild and Spicy,Canned Food
6001038072551,Robertsons Mixed Herbs,Condiments
6001240200049,Ace Instant Maize Porridge,Cereals
6001007082103,Five Roses Tea,Tea
6001038022556,Robertsons Chicken Spice,Condiments
6009900424361,Almond Breeze Macadamia Milk,Beverages
6009692191199,Woolworths Sourdough Bread,Bread
6002522008414,Six Gun Grill Seasoning,Condiments
6006507007454,Ina Paarman Lemon Herb Rub,Condiments
6001030000798,All Gold Tomato Sauce,Condiments
6001007029009,Five Roses Tagless Tea Bags,Tea
6001068006003,Nescafe Gold Instant Coffee,Beverages
6009522300050,Koo Peach Slices,Canned Food
